"1","Đối với điện giao dịch nhận từ ngoài hệ thống qua SWIFT nhận sau 18h00 sẽ được TTTT xử lý vào thời gian nào?","Trong cùng ngày lâm việc.","Không muộn hơn 9h ngày làm việc tiếp theo.","Không muộn hơn 9h30 ngày làm việc tiếp theo.","Không muộn hơn 8h30 ngày làm việc tiếp theo.","3"
"2","Thời gian đế Chi nhánh phàn hổi cho khách hàng sau khi tiếp nhận đầy đủ chửng từ giao dịch TTQT (bao gồm các thủ tục đảm bâo nguồn von - ncu cần) nếu hồ sơ chưa đầy dú, chưa hợp lệ?","Trong vòng (01) giờ làm việc.","Trong vông (02) giở lảm việc.","Trong vòng (03) giờ làm việc","Trong vòng (04) giờ làm việc.","1"
"3","Mọi giao dịch TTQT khi thực hiện dược kiểm tra, lưu trữ hổ sơ, chứng từ phù hợp liên quan đến thõng tin nhận biểt về (các) dối tượng nào sau dây?","Khách hàng","Chủ sở hữu hưởng lợi (nểu có)","Giao dịch, các bên liên quan dến giao dịch","Tất cả đáp án trên","4"
"4","Theo Quy trình TTQT, ngôn ngữ tliề hiện trên chứng từ giao dịch TTQT dược quy định như thế nào?","Phải dược lập bang tiếng Anh","Phải dược lập bằng tiếng Trung Quốc và bân dịch","Bằng tiếng Việt hoặc tiếng Anh hoặc song ngữ tiếng Việt và tiếng nước ngoài phù hợp với tỉnh chất cùa chứng từ","Đằng bất cứ ngôn ngữ nào và Chi nhánh phải yêu cầu cung cấp bàn dịch công chứng sang tiếng Việt","3"
"5","Agribank cỏ quyền từ chổi thực hiện giao dịch trong trường họp nào?","Khách hàng không dáp ứng các điều kiện theo quy djnh cùa Agribank.","Agribank phát hiện nhũng nghi vẩn, không rõ ràng về Khách hàng, dổi tác của Khách hàng ưong giao dịch; về đối tượng cúa giao dịch; uy tỉn và khả năng thanh toán của ngân hàng dối tác không đàm bâo; giao dịch tiềm ẩn khả năng rủi ro lán.","Agribank nhận dược yêu cầu cùa cơ quan nhà nước cỏ thẩm quyền về việc không dược phép/dừng thực hiện giao dịch","Tất cả đáp án trên dều đúng","4"
"6","Khách hàng sê phải hoàn ưà lại bão lãnh nhận hàng gốc ưong vòng bao nhiều ngày kề từ ngày Khách hàng nhận được bộ chứng tử và vận đơn đường biển do chi nhánh kỷ hậu?","15 ngày","30 ngày","45 ngày","60 ngày","2"
"7","Loại giấy tờ nào sau dây dược coi là hợp dồng ngoại thương?","Hợp đồng xuất nhập khẩu hàng hỏa, djch vụ","Các văn bản, giấy tờ có giá trị pháp lý tương đương như đơn đặt hăng có xác nhận chấp thuận của bên bán hoặc bàn chào giá có xác nhận cùa bên mua...","Cá đáp án (I) và (2) dều dúng","Cà đáp án (1) và (2) đều sai","3"
"8","Đối với các chi nhánh TTQT tập trung: Trung tâm TTTM thống kê các khoản phỉ, lãi thực thu của tháng trưức theo chi nhánh và thực hiện hạch toán chia sê lãi, phí dịch vụ qua tài khoản thu chi điều tiết nội bộ dể chuyển ưà 100% lãi, phi thu dược (sau khi đã khấu trừ thuế) chậm nhất vào thời gian nào?","Ngày 01 hàng tháng","Ngày 03 hàng tháng","Ngây 05 hàng tháng","Ngày 07 hàng tháng","3"
"9","Việc thu phí, lãi của khách hàng đổi với giao dịch ITQT phải dược thực hiện khi nào?","Sau khi tất toán giao dịch","Trong cùng ngày giao dịch, trừ khi dược Lãnh đạo đơn vi phê duyệt bẳng văn bàn","Trong vỏng 3 ngày làm vỉộc","Theo đề nghị của khách hàng","2"
"10","về loại, số lượng và hình thức chứng từ Sũ nhận dược, người mua cỏ cùng sự bâo vệ trong giao dich chuyền tiền giống như trong tín dụng chứng từ. Đúng hay sai?","Đúng","Sai","","","2"
