I,"Nghiệp vụ Quy chế cho vay đối với khách hàng trong hệ thống Agribank, tổng số 93 câu.",,,,,,,
1,Tổng mức dư nợ cấp tín dụng của Agribank đối với một khách hàng từ ngày 01/7/2024 đến trước ngày 01/01/2026 không được vượt quá bao nhiêu phần trăm vốn tự có của Agribank?,20%,14%,25%,15%,2,"Điểm a Khoản 1 Điều 25 QC 579/QC-HĐTV-TD sửa đổi, bổ sung QC 656/QC-HĐTV-TD","sửa đổi, bổ sung"
2,Tổng mức dư nợ cấp tín dụng của Agribank đối với một khách hàng và người có liên quan của khách hàng đó từ ngày 01/7/2024 đến trước ngày 01/01/2026 không được vượt quá bao nhiêu phần trăm vốn tự có của Agribank?,23%,25%,15%,5%,1,"Điểm a Khoản 1 Điều 25 QC 579/QC-HĐTV-TD sửa đổi, bổ sung QC 656/QC-HĐTV-TD",Rà soát 
3,"Đối với cho vay ngắn hạn thời gian xem xét và quyết định cho vay tại Agribank nơi cho vay từ ngày nhận đủ hồ sơ, thông tin hợp lệ tối đa là bao nhiêu ngày làm việc?", 5 ngày , 10 ngày , 15 ngày , 20 ngày ,1,Điểm a Khoản 1 Điều 27 QC 656/QC-HĐTV-TD,Rà soát 
4,"Đối với cho vay trung hạn thời gian xem xét và quyết định cho vay tại Agribank nơi cho vay từ khi nhận đủ hồ sơ, thông tin hợp lệ tối đa là bao nhiêu ngày làm việc?", 5 ngày , 10 ngày , 15 ngày , 20 ngày ,2,Điểm b Khoản 1 Điều 27 QC 656/QC-HĐTV-TD,Rà soát 
5,"Đối với cho vay dài hạn thời hạn xem xét và quyết định cho vay tại Agribank nơi cho vay từ ngày nhận đủ hồ sơ, thông tin hợp lệ tối đa là bao nhiêu ngày làm việc?", 5 ngày , 10 ngày , 15 ngày , 20 ngày,3,Điểm c Khoản 1 Điều 27 QC 656/QC-HĐTV-TD,Rà soát 
6,"Cấp phê duyệt cho vay vượt thẩm quyền bao gồm những cấp nào?","Hội đồng thành viên, Tổng giám đốc, Trưởng ban Thẩm định/Giám đốc TTPD.","Hội đồng thành viên, Tổng giám đốc phê duyệt các khoản vay vượt thẩm quyền của Chi nhánh loại I.","Hội đồng thành viên, Tổng giám đốc, Trưởng ban Thẩm định/Giám đốc TTPD, Giám đốc Chi nhánh loại I ","Hội đồng thành viên, Tổng giám đốc, Trưởng ban Thẩm định/Giám đốc TTPD, Giám đốc Chi nhánh loại I, loại II. ",3,Khoản 1 Điều 28 QC 656/QC-HĐTV-TD,Rà soát 
7,Cấp nào phê duyệt và quyết định gia hạn nợ thời hạn trả nợ? ,Agribank nơi cho vay được quyết định cơ cấu lại thời hạn trả nợ đối với các khoản vay bao gồm cả các khoản vay được phê duyệt vượt thẩm quyền.,"Cấp nào đã phê duyệt/quyết định cho vay thì phê duyệt/quyết định gia hạn nợ đối với khoản vay đó. Trừ trường hợp khoản vay đã được Hội đồng thành viên phê duyệt cho vay; các khoản nợ được cơ cấu giữ nguyên nhóm nợ theo quy định của Chính phủ, NHNN",Phòng giao dịch được cơ cấu lại thời hạn trả nợ các khoản vay do Agribank cấp trên trực tiếp quyết định cho vay và giao cho Phòng giao dịch giải ngân và quản lý khoản vay.,Người quyết định cơ cấu lại thời hạn trả nợ đồng thời là người quyết định cho vay đối với khoản vay đó.,2,Điểm b Khoản 4 Điều 40 QC 656/QC-HĐTV-TD,Rà soát 
8,Agribank quyết định cơ cấu lại nợ cho khách hàng khi nào? ,Khách hàng có đề nghị cơ cấu lại thời hạn trả nợ và khả năng tài chính của Agribank.,"Khách hàng có đề nghị cơ cấu lại thời hạn trả nợ, khả năng tài chính của Agribank và kết quả trả nợ của khách hàng theo thời hạn được cơ cấu lại thời hạn trả nợ.","Khách hàng có đề nghị kiêm phương án trả nợ, khả năng tài chính của Agribank và kết quả đánh giá khả năng trả nợ của khách hàng theo thời hạn được cơ cấu lại thời hạn trả nợ",Khách hàng có đề nghị cơ cấu lại thời hạn trả nợ và kết quả đánh giá khả năng trả nợ của khách hàng theo thời hạn được cơ cấu lại thời hạn trả nợ.,3,Khoản 1 Điều 40 QC 656/QC-HĐTV-TD,Rà soát 
9,"Agribank có quyền chấm dứt cho vay, thu hồi nợ trước hạn theo nội dung đã thỏa thuận đối với trường hợp nào sau đây?",Khi phát hiện khách hàng cung cấp thông tin sai sự thật. ,Kết luận của các cơ quan Nhà nước có thẩm quyền.,Khách hàng vi phạm quy định trong Thỏa thuận cho vay và/hoặc Hợp đồng bảo đảm tiển vay.,Tất cả đáp án trên,4,Khoản 1 Điều 15 QC 656/QC-HĐTV-TD,Rà soát 
10,"Khi tạm dừng, chấm dứt cho vay, thu hồi nợ trước hạn, Agribank thông báo cho khách hàng những nội dung gì?","Thời điểm chấm dứt cho vay, thu hồi nợ trước hạn; số dư nợ gốc bị thu hồi trước hạn.",Thời hạn hoàn trả số dư nợ gốc bị thu hồi trước hạn; thời điểm chuyển nợ quá hạn và lãi suất áp dụng đối với số dư nợ gốc bị thu hồi trước hạn.,Các biện pháp sẽ áp dụng để thu hồi nợ đã cho vay.,Tất cả đáp án trên,4,Khoản 2 Điều 15 QC 656/QC-HĐTV-TD,Rà soát 
