X,NGHIỆP VỤ TÍN DỤNG (40 CÂU),,,,,,
1,"Nếu có nhu cầu tiếp tục vay vốn theo hạn mức mới, khách hàng phải gửi đến Agribank nơi cho vay những tài liệu gì?",Phương án sử dụng vốn kỳ tiếp theo kèm các tài liệu liên quan.,"Dự án, phương án sử dụng vốn kỳ tiếp theo.",Nhu cầu vay vốn của khách hàng kỳ tiếp theo.,Phương án trả nợ của khách hàng.,1,Khoản 1 Điều 21 QyĐ 2268/QyĐ-NHNo-TD
2,"Cho vay phục vụ nhu cầu đời sống, Agribank nơi cho vay có thể thỏa thuận với khách hàng về việc áp dụng từng phương thức hoặc kết hợp các phương thức cho vay?",Cho vay từng lần; Cho vay theo hạn mức; Cho vay lưu vụ.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức thấu chi trên tài khoản thanh toán.,Cho vay từng lần; Cho vay theo hạn mức dự phòng; Cho vay quay vòng.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức dự phòng.,2,Khoản 2 Điều 32 QC 656/QC-HĐTV-TD
3,"Theo quy định của Luật đầu tư hiện hành và các văn bản hướng dẫn, những ngành nghề nào bị cấm đầu tư kinh doanh?",Kinh doanh dịch vụ cầm đồ.,Kinh doanh dịch vụ Massage.,Kinh doanh dịch vụ đòi nợ.,Tất cả đáp án trên.,3,Điểm h Khoản 1 Điều 6 Luật đầu tư 2020
4,"Điền vào chỗ trống:Khách hàng được xem xét cho vay……….. đáp ứng một số nhu cầu vốn Ngân hàng Nhà nước quy định mức lãi suất cho vay tối đa thì khách hàng phải được Agribank đánh giá là có tình hình tài chính minh bạch, lành mạnh?",Ngắn hạn.,Trung hạn.,Dài hạn.,Tất cả đáp án trên.,1,"Khoản 4 Điều 57QC 656/QC-HĐTV-TD"
5,Nhu cầu vay vốn nào dưới đây được Agribank xem xét cấp tín dụng?,Mua vàng miếng.,Kinh doanh pháo nổ.,"Để thanh toán lãi tiền vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong Tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của pháp luật","Mua bán động vật hoang dã, quý hiếm. ",3,Khoản 5 Điều 20 QC 656/QC-HĐTV-TD
6,Agribank xem xét cấp tín dụng (trừ hình thức phát hành thẻ tín dụng cá nhân) cho khách hàng nào sau đây?,Con trai của Tổng Giám đốc Agribank.,Cháu của Chủ tịch Hội đồng thành viên Agribank.,"Khách hàng được bảo đảm bởi thành viên Hội đồng thành viên, thành viên Ban kiểm soát, Tổng Giám đốc, Phó Tổng Giám đốc Agribank.",Thành viên Ban kiểm soát Agribank.,2,Khoản 2 Điều 22 QC 656/QC-HĐTV-TD
7,Agribank xem xét cấp tín dụng cho khách hàng để trả khoản vay tại chính Agribank trong trường hợp nào?,Không có trường hợp nào.,Tổng Giám đốc được quyền quyết định cho vay.,"Để thanh toán lãi tiền vay phát sinh trong quá trình thi công xây dựng công trình, mà chi phí lãi tiền vay được tính trong Tổng mức đầu tư xây dựng được cấp có thẩm quyền phê duyệt theo quy định của pháp luật",Trong mọi trường hợp.,3,Khoản 5 Điều 20 QC 656/QC-HĐTV-TD
8,"Theo Quy định của Agribank về địa bàn cho vay, trường hợp có nhiều Chi nhánh loại I cùng đóng tại địa bàn hành chính cấp tỉnh thì Chi nhánh loại I được cho vay những khách hàng nào?",Cả pháp nhân và cá nhân có địa chỉ kinh doanh tại địa bàn hành chính cấp tỉnh đó.,"Pháp nhân có địa chỉ kinh doanh tại địa bàn hành chính cấp tỉnh đó và không được ủy quyền cho Chi nhánh loại II, phòng giao dịch.","Khách hàng Pháp nhân, DNTN có địa chỉ kinh doanh tại địa bàn hành chính tỉnh đó; khách hàng cá nhân có nơi cư trú hoặc địa chỉ kinh doanh tại địa bàn cấp huyện mà chi nhánh loại I đó quản lý, điều hành","Pháp nhân có địa chỉ kinh doanh tại địa bàn cấp huyện nơi Chi nhánh loại I, loại II, PGD đóng trụ sở.",3, Khoản 2 Điều 6 QyĐ 2268/QyĐ-NHNo-TD
9,Một trong những căn cứ để xác định thời hạn cho vay phục vụ hoạt động kinh doanh là?,Phương án sử dụng vốn của khách hàng,Khả năng phát mại tài sản bảo đảm.,Nhu cầu của khách hàng về thời hạn vay vốn.,Tất cả đáp án trên.,1,Tiết i Điểm a Khoản 1 Điều 10 QC 656/QC-HĐTV-TD
10,Căn cứ nào được sử dụng để xác định mức cho vay?,"Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án sản xuất kinh doanh và vốn tự có tối thiểu của khách hàng; Giá trị tài sản bảo đảm.","Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án sản xuất kinh doanh và vốn tự có tối thiểu; Khả năng hoàn trả nợ của khách hàng; Giá trị Tài sản bảo đảm.",Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản đảm bảo; Các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank,Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản bảo đảm.,3,Khoản 1 Điều 21 QC 656/QC-HĐTV-TD
