STT,Câu hỏi,1,2,3,4,Đáp án
1,"""Cá nhân nước ngoài có ảnh hưởng chính trị"" được định nghĩa tại Luật Phòng, chống rửa tiền năm 2022 là:",Người giữ chức vụ cấp cao tại các định chế tài chính nước ngoài,Người giữ chức vụ cấp cao trong bộ máy chính trị tại Việt Nam,Người giữ chức vụ cấp cao tại các tổ chức tín dụng do Ngân hàng Nhà nước Việt Nam là chủ sở hữu,"Người giữ chức vụ cấp cao trong các cơ quan, tổ chức nước ngoài và tổ chức quốc tế",4
2,"""Chủ sở hữu hưởng lợi"" được định nghĩa trong Luật Phòng, chống rửa tiền năm 2022 là",Cá nhân có quyền chi phối một pháp nhân hoặc một thỏa thuận pháp lý.,"Cá nhân có quyền sở hữu trên thực tế một hoặc một số tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này.","Cá nhân có quyền sở hữu một tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này; Cá nhân có quyền chi phối một thỏa thuận pháp lý.","Cá nhân có quyền sở hữu trên thực tế một hoặc một số tài sản, có quyền chi phối khách hàng thực hiện giao dịch liên quan đến tài sản cho cá nhân này; cá nhân có quyền chi phối một pháp nhân hoặc một thỏa thuận pháp lý",4
3,"""Đơn vị thuộc Agribank"" bao gồm:","Ban, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","ủy ban, Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp và các đơn vị khác do Hội đồng thành viên thành lập.","ủy ban, Ban, Trung tâm, Văn phòng đại diện; Chi nhánh Agribank trực thuộc; đơn vị sự nghiệp.",2
4,"""Khách hàng chuyển số tiền lớn từ tài khoản của doanh nghiệp ra nước ngoài sau khi nhận được nhiều khoản tiền nhỏ được chuyển vào bằng chuyển tiền điện tử, séc, hối phiếu"" là dấu hiệu đáng ngờ trong lĩnh vực nào?",Lĩnh vực trung gian thanh toán,Lĩnh vực kinh doanh bảo hiểm nhân thọ,Lĩnh vực ngân hàng,Lĩnh vực chứng khoán,3
5,"""Khách hàng mở nhiều tài khoản tại tổ chức tín dụng, chi nhánh ngân hàng nước ngoài ở khu vực địa lý khác nơi khách hàng cư trú, làm việc hoặc có hoạt động kinh doanh"" là dấu hiệu đáng ngờ trong lĩnh vực nào?",Lĩnh vực ngân hàng,Lĩnh vực kinh doanh bảo hiểm nhân thọ,Lĩnh vực trung gian thanh toán,Lĩnh vực chứng khoán,1
6,"""Không gian bên ngoài cây ATM"" theo Quy định ""Tiêu chuẩn phục vụ khách hàng trong hệ thống Agribank"" không quy định nội dung nào?","Không có vật dụng che khuất, cản trở lối vào.",Biển hiệu tại cây ATM bị che khuất,Đảm bảo đầy đủ ánh sáng. Bật đèn theo quy định,Đáp án 2 và 3,2
7,"""Không gian bên trong cây ATM"" được quy định như thế nào theo Quy định ""Tiêu chuẩn phục vụ khách hàng trong hệ thống Agribank""?","Sạch sẽ, không có bụi bẩn, mạng nhện, rác; Có thùng rác đựng biên lai giao dịch","Không có vết băng dính hay vết giấy/đồ trang trí sót lại sau khi gỡ bỏ; Camera, điều hòa, đèn tại khu vực ATM hoạt động bình thường; Bàn phím rõ ràng, không mờ chữ, bong chữ.","Trong trường hợp máy ATM gặp trục trặc, không hoạt động, phải dán thông báo về tình trạng máy cho khách hàng biết.",Cả 3 đáp án trên,4
8,"""Lực lượng đặc nhiệm tài chính"" được định nghĩa tại  Luật Phòng, chống rửa tiền năm 2022 là:","Tổ chức liên chính phủ, ban hành các chuẩn mực, thúc đẩy việc thực thi có hiệu quả các biện pháp pháp lý, quản lý và hành động nhằm chống rửa tiền, tài trợ khủng bố, tài trợ phổ biến vũ khí hủy diệt hàng loạt và những hiểm họa có liên quan khác đe dọa sự toàn vẹn của hệ thống tài chính toàn cầu.","Tổ chức liên chính phủ, ban hành các chuẩn mực, thúc đẩy việc thực thi có hiệu quả các biện pháp pháp lý, quản lý và hành động nhằm chống rửa tiền.",Liên minh toàn cầu của các tổ chức xã hội dân sự và chính phủ để giải quyết sự bất bình đẳng trong hệ thống tài chính.,"Tổ chức ban hành các chuẩn mực, thúc đẩy việc thực thi có hiệu quả các biện pháp pháp lý, quản lý và hành động nhằm chống rửa tiền, tài trợ khủng bố và những hiểm họa có liên quan khác đe dọa sự toàn vẹn của hệ thống tài chính toàn cầu.",1
9,"""Người đại diện Chủ sở hữu trực tiếp tại Agribank"" gồm:",Chủ tịch HĐTV.,Thành viên HĐTV.,Phó Tổng Giám đốc.,"Các đáp án 1, 2 đủng.",4
10,"""Người điều hành Agribank"" bao gồm:","Chủ tịch, Phó chủ tịch và Thành viên Hội đồng thành viên.",Chủ tịch Hội đồng thành viên.,Tổng Giám đốc.,"Tổng Giám đốc, Phó Tổng Giám đốc, Ke toán trưởng.",4
